"host_response_time","host_acceptance_rate","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_since_days","log_price"
"within a day",82,"t",1,"t","t","Maui","Entire home/apt",8,2,2,8,224,3,1125,3,3,1125,1125,3,1125,30,38,40,220,88,6,0,89,9,9,9,9,10,9,"f",1,1,0,0,1.51,1811,5.41164605185504
"within a few hours",85,"t",169,"t","t","Maui","Entire home/apt",8,3,3,4,815,5,180,1,7,180,180,5.2,180,0,0,8,162,1,0,0,100,10,10,10,8,10,8,"t",164,161,3,0,0.02,1978,6.70318811324086
"within an hour",100,"f",14,"t","t","Honolulu","Entire home/apt",4,1,1,2,99,1,1125,1,2,1125,1125,1,1125,1,1,1,1,63,8,0,84,9,8,9,9,10,8,"t",12,11,1,0,1.09,2043,4.59511985013459
"within an hour",100,"t",2,"t","t","Kauai","Entire home/apt",4,1,1,2,175,1,1125,1,2,1125,1125,1,1125,14,16,20,262,139,18,0,98,10,10,10,10,10,9,"t",1,1,0,0,2.53,1809,5.16478597392351
"within a few hours",100,"f",5,"t","t","Hawaii","Entire home/apt",6,3.5,3,3,690,4,179,4,5,179,179,4.1,179,30,56,78,352,4,0,0,100,10,10,9,10,10,9,"t",6,6,0,0,0.08,1957,6.5366915975913
"within a few hours",100,"t",3,"t","t","Hawaii","Entire home/apt",2,1,1,1,120,2,1125,2,2,1125,1125,2,1125,0,0,1,2,27,3,0,98,10,10,10,10,10,10,"t",2,2,0,0,0.48,2850,4.78749174278205
"a few days or more",90,"f",1,"t","t","Honolulu","Entire home/apt",2,1,NA,1,100,30,60,30,30,60,60,30,60,1,22,40,315,129,15,0,96,10,9,10,10,10,10,"f",1,1,0,0,2.24,1809,4.60517018598809
"within a day",100,"t",1,"t","t","Hawaii","Entire home/apt",6,2,3,4,200,5,183,5,5,183,183,5,183,0,0,0,0,33,6,0,98,10,9,10,10,9,9,"f",1,1,0,0,0.67,2052,5.29831736654804
"within an hour",100,"f",1,"t","t","Hawaii","Entire home/apt",6,3,3,4,199,5,1125,1,10,1125,1125,5.5,1125,0,0,0,0,16,0,0,100,10,10,10,10,10,10,"f",1,1,0,0,0.29,2300,5.29330482472449
"within an hour",99,"f",2,"t","t","Maui","Entire home/apt",4,1,NA,2,120,1,15,1,2,15,15,1,15,15,39,44,297,209,24,0,93,10,9,10,10,10,9,"t",1,1,0,0,3.78,1808,4.78749174278205
"within a day",50,"f",4,"t","t","Honolulu","Private room",4,1,NA,0,47,30,1125,30,30,1125,1125,30,1125,0,4,34,309,17,0,0,89,10,10,10,10,10,9,"f",2,1,1,0,0.31,1807,3.85014760171006
"within a few hours",98,"f",5,"t","t","Hawaii","Entire home/apt",12,3,4,6,161,3,1125,3,3,1125,1125,3,1125,27,49,77,336,11,7,0,96,10,10,10,10,9,10,"t",4,4,0,0,0.67,1959,5.08140436498446
"within an hour",100,"f",1,"t","f","Maui","Entire home/apt",4,2,2,3,113,3,180,3,3,180,180,3,180,17,17,17,209,41,5,1,95,10,9,10,10,10,10,"t",1,1,0,0,0.73,1807,4.72738781871234
"within a day",99,"t",9,"t","t","Maui","Private room",2,1,1,0,799,1,1125,1,5,1125,1125,1.3,1125,19,45,58,299,2,0,0,100,10,10,10,10,10,8,"t",9,0,9,0,0.04,2840,6.68336094576627
"within a few hours",78,"f",8,"t","t","Maui","Entire home/apt",4,1,2,2,155,3,1125,3,3,1125,1125,3,1125,1,1,1,1,32,4,0,99,10,10,10,10,10,10,"f",6,6,0,0,0.69,1806,5.04342511691925
"within an hour",98,"t",2,"t","t","Hawaii","Entire home/apt",2,1,NA,1,95,1,30,1,2,30,30,1,30,27,48,60,313,226,41,2,99,10,10,10,10,10,10,"f",2,2,0,0,3.89,3102,4.55387689160054
"within an hour",100,"t",2,"t","t","Maui","Entire home/apt",16,4.5,6,7,888,180,365,180,180,1125,1125,180,1125,5,35,65,340,10,1,0,100,10,10,10,10,10,9,"f",1,1,0,0,0.19,3169,6.78897174299217
"within a few hours",98,"f",5,"t","t","Hawaii","Entire home/apt",8,1,3,5,89,3,1125,3,3,1125,1125,3,1125,18,41,45,310,55,9,0,96,10,10,10,10,10,10,"t",4,4,0,0,0.99,1959,4.48863636973214
"within an hour",100,"t",3,"t","f","Maui","Entire home/apt",4,1,1,2,169,4,120,4,4,120,120,4,120,0,0,0,0,3,2,0,100,10,10,9,10,10,9,"f",4,4,0,0,0.06,2166,5.12989871492307
"within an hour",99,"f",5,"t","t","Maui","Entire home/apt",6,2,2,3,130,3,60,3,3,60,60,3,60,0,8,38,257,80,6,0,99,10,10,10,10,10,10,"t",5,5,0,0,1.45,1892,4.86753445045558
"N/A",50,"f",1,"t","t","Maui","Entire home/apt",4,2,2,2,220,5,1125,5,5,1125,1125,5,1125,29,57,57,297,33,6,0,95,10,9,10,10,10,9,"f",1,1,0,0,0.59,2200,5.39362754635236
"N/A",94,"t",1,"t","t","Hawaii","Private room",2,1,1,1,69,1,35,1,1,35,35,1,35,27,57,81,170,78,16,0,98,10,10,10,10,10,10,"f",1,0,1,0,1.36,1804,4.23410650459726
"within an hour",90,"f",2,"t","t","Honolulu","Entire home/apt",4,1,1,2,70,29,1124,25,29,1125,1125,28.7,1125,0,20,28,245,64,4,0,90,9,9,9,10,10,9,"t",2,2,0,0,1.16,2282,4.24849524204936
"N/A",94,"t",1,"t","t","Hawaii","Entire home/apt",6,1,2,3,280,1,30,1,2,30,30,1,30,0,0,0,0,163,20,0,99,10,10,10,10,10,10,"f",1,1,0,0,2.83,1804,5.63478960316925
"within an hour",100,"t",3,"t","f","Hawaii","Entire home/apt",4,1,2,3,77,31,1125,31,31,1125,1125,31,1125,29,40,40,277,25,3,0,96,10,10,9,10,10,10,"f",2,2,0,0,0.51,1877,4.34380542185368
"within an hour",78,"f",459,"t","f","Hawaii","Entire home/apt",4,1,1,2,69,6,14,6,6,14,14,6,14,0,0,0,0,3,1,0,100,10,10,10,10,10,10,"f",36,36,0,0,0.05,1816,4.23410650459726
"within a few hours",94,"t",1,"t","t","Hawaii","Entire home/apt",4,1.5,2,3,125,2,1125,2,2,1125,1125,2,1125,0,0,0,0,93,11,0,96,10,10,10,10,10,10,"f",1,1,0,0,1.79,1802,4.8283137373023
"within a day",17,"f",13,"t","t","Hawaii","Private room",6,2,2,0,175,3,1125,3,3,1125,1125,3,1125,0,0,0,0,1,0,0,60,10,8,10,8,6,10,"f",3,2,1,0,0.06,2193,5.16478597392351
"within a day",96,"t",10,"t","t","Honolulu","Entire home/apt",2,1,NA,1,134,3,30,3,3,30,30,3,30,30,60,90,351,148,9,0,97,10,10,10,10,10,10,"t",9,9,0,0,2.66,1802,4.89783979995091
"within a day",99,"t",47,"t","t","Kauai","Entire home/apt",4,1,NA,2,116,1,1125,1,7,1125,1125,3.1,1125,5,28,58,290,19,3,0,95,10,10,10,10,10,10,"t",46,12,31,0,0.41,2032,4.75359019110636
"within an hour",97,"t",3,"t","t","Hawaii","Entire home/apt",5,1,2,3,160,2,90,2,2,1125,1125,2,1125,30,56,63,321,102,7,0,95,10,10,10,10,10,9,"f",3,3,0,0,1.77,1802,5.07517381523383
"within an hour",98,"f",10,"t","f","Maui","Entire home/apt",2,1,1,1,160,5,1125,5,5,1125,1125,5,1125,14,41,54,256,65,4,0,96,10,10,10,10,10,9,"f",8,8,0,0,1.17,2655,5.07517381523383
"within an hour",97,"t",3,"t","t","Hawaii","Entire home/apt",6,1,2,3,190,2,60,2,2,1125,1125,2,1125,30,55,64,303,84,8,0,98,10,10,10,10,10,10,"f",3,3,0,0,1.47,1802,5.24702407216049
"within an hour",97,"t",3,"t","t","Hawaii","Entire home/apt",11,2,4,4,350,2,90,2,7,1125,1125,2.5,1125,30,53,60,318,63,6,0,98,10,10,10,10,10,10,"t",3,3,0,0,1.23,1802,5.85793315448346
"within a few hours",98,"f",3,"t","t","Hawaii","Private room",2,1.5,1,2,40,2,1125,2,2,1125,1125,2,1125,30,60,90,179,117,26,0,92,10,9,10,10,10,10,"f",2,0,2,0,2.75,1802,3.68887945411394
"N/A",100,"t",2,"t","t","Maui","Entire home/apt",5,2,2,0,345,5,31,5,5,1125,1125,5,1125,30,41,60,317,32,8,0,98,10,10,10,10,10,9,"t",2,1,1,0,0.73,1801,5.84354441703136
"N/A",100,"t",2,"t","t","Kauai","Entire home/apt",6,2,2,3,199,1,1125,1,2,1125,1125,1,1125,0,0,0,0,206,26,0,97,10,9,10,10,10,10,"f",1,1,0,0,3.58,2203,5.29330482472449
"within a few hours",100,"t",1,"t","t","Honolulu","Private room",2,1,1,2,140,30,60,30,30,1125,1125,30,1125,2,2,2,2,112,2,1,98,10,10,10,10,10,10,"f",1,0,1,0,2.09,1946,4.9416424226093
"within a day",50,"f",4,"t","t","Honolulu","Entire home/apt",3,1,NA,1,110,30,1125,30,30,1125,1125,30,1125,30,57,57,228,19,1,0,90,9,10,9,9,9,9,"f",2,1,1,0,0.34,1807,4.70048036579242
"within an hour",98,"f",20,"t","t","Honolulu","Entire home/apt",2,1,NA,1,70,3,1125,3,3,1125,1125,3,1125,1,1,1,1,50,4,0,87,9,9,9,10,10,9,"t",13,13,0,0,0.88,2036,4.24849524204936
"within a few hours",94,"t",2,"t","t","Hawaii","Entire home/apt",5,2,2,4,332,3,29,3,3,1125,1125,3,1125,18,19,30,284,57,6,0,98,10,10,10,10,10,10,"t",2,1,1,0,1,1801,5.80513496891649
"within an hour",98,"f",101,"t","f","Honolulu","Entire home/apt",2,1,1,1,380,2,1125,2,5,1125,1125,2.1,1125,0,0,2,219,23,7,0,97,10,10,10,10,10,10,"f",101,101,0,0,0.41,1927,5.94017125272043
"within an hour",0,"f",1,"t","t","Hawaii","Entire home/apt",10,4.5,4,6,750,5,1125,5,5,1125,1125,5,1125,15,27,45,216,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,1,0,0,NA,1800,6.62007320653036
"N/A",100,"f",1,"t","t","Honolulu","Entire home/apt",4,2.5,2,2,390,20,45,20,20,45,45,20,45,0,0,0,0,29,1,0,96,10,9,10,10,10,9,"f",1,1,0,0,0.52,2509,5.96614673912369
"within an hour",97,"t",1,"t","f","Maui","Entire home/apt",2,1,NA,1,119,2,1125,2,2,1125,1125,2,1125,23,47,61,326,190,18,0,97,10,10,10,10,10,10,"t",1,1,0,0,3.29,1799,4.77912349311153
"N/A",100,"f",12,"t","t","Hawaii","Entire home/apt",2,3.5,1,1,98,1,1125,1,2,999,1125,1.5,1063.6,0,0,0,225,9,2,0,87,9,9,8,8,10,9,"t",12,11,1,0,0.16,3131,4.58496747867057
"within an hour",100,"f",26,"t","t","Kauai","Entire home/apt",4,2,2,2,287,3,45,3,3,45,45,3,45,0,23,42,247,4,1,0,100,10,10,10,10,10,10,"t",21,21,0,0,0.08,1977,5.65948221575962
"N/A",100,"t",1,"t","t","Maui","Entire home/apt",2,1,1,1,150,3,29,3,3,29,29,3,29,30,35,64,323,72,8,0,97,10,10,10,10,10,10,"f",1,1,0,0,1.3,1797,5.01063529409626
"within a few hours",80,"f",1,"t","t","Honolulu","Entire home/apt",3,1,2,3,119,7,1125,7,7,1125,1125,7,1125,0,0,0,0,88,5,0,94,10,9,10,10,10,10,"f",3,3,0,0,1.63,2339,4.77912349311153
"within a few hours",97,"f",30,"t","t","Honolulu","Entire home/apt",2,1,NA,0,40,1,1125,1,2,1125,1125,1,1125,9,26,43,313,98,12,0,91,9,9,10,10,10,9,"t",28,28,0,0,1.84,1907,3.68887945411394
"within a day",44,"f",6,"t","t","Hawaii","Private room",1,1,1,1,40,5,120,5,5,120,120,5,120,0,0,0,0,13,1,0,94,10,9,10,10,10,10,"f",7,1,6,0,0.26,2737,3.68887945411394
"N/A",100,"f",4,"t","f","Hawaii","Entire home/apt",3,1,1,1,85,7,1125,7,7,1125,1125,7,1125,1,1,1,1,113,2,0,99,10,10,10,10,10,10,"t",1,1,0,0,1.95,1794,4.44265125649032
"N/A",57,"f",2,"t","t","Hawaii","Private room",2,1,1,2,45,3,10,3,3,10,10,3,10,29,59,89,364,9,2,0,96,10,10,10,10,10,10,"f",2,0,2,0,0.16,1794,3.80666248977032
"N/A",100,"f",1,"t","f","Honolulu","Private room",2,1,1,2,100,1,1125,1,1,1125,1125,1,1125,0,0,0,0,405,42,0,94,9,9,9,10,10,9,"t",1,0,1,0,7.23,2747,4.60517018598809
"within a day",95,"f",21,"t","t","Honolulu","Entire home/apt",2,1,NA,1,85,2,30,1,2,30,30,1.7,30,23,53,83,357,142,8,0,92,9,9,9,9,10,9,"f",20,20,0,0,2.57,2515,4.44265125649032
"within a day",100,"f",3,"t","t","Honolulu","Entire home/apt",2,1,1,1,99,30,1125,30,30,1125,1125,30,1125,0,0,0,234,2,1,0,100,10,10,10,10,10,10,"f",1,1,0,0,0.1,2067,4.59511985013459
"N/A",39,"t",2,"t","t","Honolulu","Private room",2,1,1,1,92,2,7,2,2,7,7,2,7,0,0,0,0,32,5,0,96,10,10,10,10,10,10,"f",2,0,2,0,0.68,2744,4.52178857704904
"within a few hours",92,"f",8,"t","f","Honolulu","Entire home/apt",5,1,1,3,85,30,1125,30,30,1125,1125,30,1125,30,60,90,364,90,13,0,95,10,9,10,10,10,9,"f",9,9,0,0,1.58,2513,4.44265125649032
"N/A",57,"f",2,"t","t","Hawaii","Private room",2,1,1,1,45,3,10,3,3,10,10,3,10,29,59,89,364,5,2,0,92,9,10,10,10,9,9,"f",2,0,2,0,0.15,1794,3.80666248977032
"within a few hours",97,"f",30,"t","t","Honolulu","Entire home/apt",3,1,NA,1,49,1,1125,1,2,1125,1125,1,1125,6,23,29,279,108,25,2,92,9,9,10,10,10,9,"t",28,28,0,0,2.05,1907,3.89182029811063
"within an hour",94,"f",12,"t","t","Honolulu","Entire home/apt",2,1,NA,1,90,5,1125,5,5,1125,1125,5,1125,13,43,73,163,141,15,0,94,10,9,10,9,10,10,"t",7,2,5,0,2.46,2649,4.49980967033027
"within an hour",94,"f",12,"t","t","Honolulu","Entire home/apt",2,1,NA,1,83,5,1125,5,5,1125,1125,5,1125,17,47,77,167,98,10,0,86,9,8,9,9,10,9,"t",7,2,5,0,1.71,2649,4.4188406077966
"within a few hours",89,"f",2,"t","t","Honolulu","Private room",5,1,NA,3,139,31,180,31,31,1125,1125,31,1125,30,53,83,355,120,9,0,96,9,9,10,10,10,9,"t",2,0,2,0,2.12,1792,4.93447393313069
"within a few hours",100,"t",3,"t","t","Maui","Entire home/apt",4,0,2,4,91,3,100,3,3,1125,1125,3,1125,30,60,90,365,36,15,0,99,10,10,10,10,10,10,"t",9,9,0,0,0.63,2375,4.51085950651685
"within a few hours",100,"t",3,"t","t","Maui","Entire home/apt",4,0,2,4,105.89,3,30,3,3,1125,1125,3,1125,30,60,90,365,43,14,0,100,10,10,10,10,10,10,"t",9,9,0,0,0.76,2375,4.66240081944236
"within a day",80,"f",1,"t","t","Hawaii","Entire home/apt",3,1,1,1,144,3,14,3,3,14,14,3,14,2,2,2,2,24,5,0,100,10,10,10,10,10,10,"f",1,1,0,0,0.46,1792,4.969813299576
"within a day",100,"t",3,"t","t","Honolulu","Private room",2,1,1,1,75,30,1125,30,30,1125,1125,30,1125,30,60,90,365,11,0,0,100,10,10,10,10,10,10,"f",2,1,1,0,0.19,3200,4.31748811353631
"within a day",81,"f",1,"t","f","Honolulu","Entire home/apt",2,1,NA,1,155,3,1125,3,3,1125,1125,3,1125,0,0,0,0,132,12,0,96,10,10,10,10,10,9,"f",1,1,0,0,3.22,2166,5.04342511691925
"within an hour",39,"f",6,"t","t","Kauai","Entire home/apt",6,2.5,2,1,407,1,1125,1,2,1125,1125,1,1125,30,60,90,365,7,0,0,100,10,10,10,10,10,10,"f",11,11,0,0,0.15,2334,6.00881318544259
"within an hour",98,"f",101,"t","f","Honolulu","Entire home/apt",2,1,NA,1,128,2,1125,2,4,1125,1125,2.1,1125,0,22,52,318,68,3,0,91,9,9,10,10,10,9,"f",101,101,0,0,1.19,1927,4.85203026391962
"within an hour",83,"f",10,"t","t","Hawaii","Entire home/apt",2,1,NA,0,96,1,1125,1,7,1125,1125,1.2,1125,30,50,80,355,23,2,0,81,9,8,10,9,10,8,"t",10,10,0,0,0.41,3605,4.56434819146784
"N/A",100,"t",1,"t","f","Honolulu","Entire home/apt",6,1,2,4,175,2,1125,2,2,1125,1125,2,1125,0,0,17,292,136,12,0,94,9,9,10,10,10,9,"t",1,1,0,0,2.37,1790,5.16478597392351
"within an hour",98,"f",101,"t","f","Honolulu","Entire home/apt",2,1,NA,1,78,2,1125,2,4,1125,1125,2,1125,8,38,68,342,64,6,0,84,9,9,9,9,10,9,"f",101,101,0,0,1.14,1927,4.35670882668959
"within an hour",99,"t",3,"t","t","Hawaii","Entire home/apt",2,1,1,1,125,7,30,7,7,30,30,7,30,0,0,0,78,212,23,0,97,10,10,10,10,10,10,"f",2,2,0,0,3.71,1789,4.8283137373023
"within an hour",100,"f",9,"t","t","Honolulu","Entire home/apt",2,1,NA,1,60,2,1125,2,2,1125,1125,2,1125,15,40,70,160,85,6,0,91,9,9,9,9,9,9,"t",5,5,0,0,1.74,1871,4.0943445622221
"within a day",87,"f",26,"t","t","Maui","Entire home/apt",6,3,2,4,542,4,90,4,7,4,90,4.2,39.3,29,58,68,305,3,0,0,100,10,9,10,10,10,10,"t",36,36,0,0,0.06,2074,6.29526600143965
"N/A",57,"f",3,"t","f","Maui","Entire home/apt",4,1,1,2,368,3,1125,3,3,1125,1125,3,1125,21,32,37,287,9,3,0,96,10,10,10,10,10,10,"f",2,2,0,0,0.2,1788,5.90808293816893
"within a day",99,"t",9,"t","t","Maui","Private room",4,1,2,0,699,1,1125,1,5,1125,1125,1.3,1125,22,48,69,310,3,0,0,87,10,10,10,10,10,9,"t",9,0,9,0,0.05,2840,6.54965074223381
"within a few hours",94,"t",1,"t","f","Maui","Entire home/apt",3,1,NA,1,87,2,1125,2,2,1125,1125,2,1125,1,1,1,1,199,30,0,94,9,9,10,9,10,10,"f",1,1,0,0,3.5,1892,4.46590811865458
"within a few hours",100,"t",1,"t","t","Maui","Entire home/apt",4,1,1,2,295,4,1125,4,4,1125,1125,4,1125,7,18,18,208,29,4,0,100,10,10,10,10,10,10,"t",1,1,0,0,0.56,2388,5.68697535633982
"within a few hours",96,"f",1,"t","t","Maui","Entire home/apt",5,1,2,2,170,4,1125,4,4,1125,1125,4,1125,15,39,56,282,94,8,0,98,10,10,10,10,10,10,"f",1,1,0,0,1.74,1877,5.13579843705026
"within a few hours",73,"f",145,"t","f","Kauai","Entire home/apt",7,3.5,3,4,840,3,60,3,7,60,60,4.8,60,0,0,3,177,5,0,0,88,8,9,10,8,10,8,"t",131,131,0,0,0.12,3481,6.73340189183736
"within a few hours",73,"f",145,"t","f","Kauai","Entire home/apt",8,3,3,5,441,3,60,3,7,60,60,4.5,60,0,0,0,225,34,5,0,96,10,10,10,9,10,9,"t",131,131,0,0,0.69,3481,6.08904487544685
"N/A",59,"f",3,"t","f","Honolulu","Entire home/apt",2,1,NA,1,105,2,1125,2,2,1125,1125,2,1125,0,0,0,0,174,9,0,96,10,10,10,9,10,10,"f",3,3,0,0,3.03,1876,4.65396035015752
"within an hour",100,"t",1,"t","f","Honolulu","Entire home/apt",12,2,4,7,440,10,270,10,10,1125,1125,10,1125,0,0,0,172,14,3,0,96,9,9,10,10,10,9,"t",1,1,0,0,0.32,1786,6.08677472691231
"within a day",46,"t",5,"t","t","Honolulu","Entire home/apt",8,3,4,6,400,30,1125,30,30,1125,1125,30,1125,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",3,3,0,0,NA,2922,5.99146454710798
"within a few hours",93,"f",10,"t","t","Maui","Entire home/apt",7,2,2,3,270,6,30,6,6,30,30,6,30,22,52,67,289,33,2,0,95,9,10,10,10,10,9,"f",13,13,0,0,0.58,2129,5.59842195899838
"within a few hours",67,"f",1,"t","t","Hawaii","Entire home/apt",6,2,1,2,232,3,1125,3,3,1125,1125,3,1125,11,30,42,304,35,1,0,99,10,10,10,10,10,10,"f",1,1,0,0,0.63,1839,5.44673737166631
"within an hour",92,"f",5,"t","t","Honolulu","Entire home/apt",8,2,2,2,160,4,1125,4,4,1125,1125,4,1125,12,33,59,334,68,11,0,86,9,8,10,9,10,9,"f",5,5,0,0,1.22,1856,5.07517381523383
"within an hour",100,"t",2,"t","t","Hawaii","Entire home/apt",6,2,3,3,175,3,1125,3,3,1125,1125,3,1125,13,31,34,220,21,7,1,100,10,10,10,10,10,10,"t",2,2,0,0,0.47,1800,5.16478597392351
"within an hour",35,"f",6,"t","t","Honolulu","Entire home/apt",2,1,1,1,99,1,1125,1,2,1125,1125,1,1125,30,60,79,79,141,1,0,93,9,9,10,10,9,9,"f",6,5,1,0,2.48,1784,4.59511985013459
"within an hour",91,"t",6,"t","t","Hawaii","Entire home/apt",7,2,2,2,160,2,365,2,2,365,365,2,365,2,2,2,2,18,6,0,100,10,10,10,10,9,10,"f",3,3,0,0,0.32,1783,5.07517381523383
"within a day",95,"t",6,"t","t","Hawaii","Shared room",6,2,1,0,30,1,7,1,1,7,7,1,7,29,59,89,89,200,16,0,94,10,10,10,10,10,10,"f",6,0,4,2,3.5,1783,3.40119738166216
"within a few hours",95,"f",1,"t","f","Hawaii","Entire home/apt",12,3,4,4,195,3,1125,3,3,1125,1125,3,1125,10,30,32,192,14,6,0,96,10,10,10,9,9,9,"f",1,1,0,0,0.3,1783,5.27299955856375
"within a few hours",100,"f",1,"t","t","Honolulu","Entire home/apt",6,2,3,3,114,30,1124,30,30,1125,1125,30,1125,11,41,52,76,25,4,0,92,10,9,10,9,9,9,"t",3,3,0,0,0.49,4261,4.7361984483945
"within a day",95,"t",6,"t","t","Hawaii","Private room",3,1,1,2,105,1,1125,1,1,1125,1125,1,1125,30,60,90,365,72,2,0,94,10,10,10,10,10,10,"f",6,0,4,2,1.29,1783,4.65396035015752
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,2,1,1,175,3,1125,3,7,1125,1125,3.2,1125,28,48,71,334,9,3,0,89,10,9,10,10,9,9,"t",73,73,0,0,0.19,1884,5.16478597392351
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,2,1,1,200,3,1125,3,7,1125,1125,3.2,1125,27,38,50,317,7,2,0,93,10,9,10,10,10,9,"t",73,73,0,0,0.16,1884,5.29831736654804
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",2,2,1,1,195,3,1125,3,7,1125,1125,3.2,1125,0,0,0,260,13,1,0,93,10,9,10,10,9,9,"t",73,73,0,0,0.23,1884,5.27299955856375
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,2,1,2,175,3,1125,3,7,1125,1125,3.2,1125,3,3,3,3,3,1,0,80,10,8,10,9,10,9,"t",73,73,0,0,0.11,1884,5.16478597392351
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,2,1,1,175,3,1125,3,7,1125,1125,3.2,1125,27,57,87,337,19,3,0,96,9,9,10,10,10,9,"t",73,73,0,0,0.35,1884,5.16478597392351
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,2,2,2,225,3,1125,3,7,1125,1125,3.2,1125,28,58,76,350,19,2,0,95,10,9,9,10,10,9,"t",73,73,0,0,0.36,1884,5.41610040220442
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,1,1,1,195,3,1125,3,7,1125,1125,3.2,1125,28,47,77,306,35,0,0,88,9,8,10,10,10,9,"t",73,73,0,0,0.62,1884,5.27299955856375
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",8,2,3,3,700,5,1125,5,14,1125,1125,5.5,1125,3,3,3,3,8,1,0,83,8,9,10,10,10,7,"t",73,73,0,0,0.15,1884,6.5510803350434
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",6,2,2,2,325,3,1125,3,7,1125,1125,3.2,1125,28,58,77,351,10,3,0,96,10,9,10,10,10,10,"t",73,73,0,0,0.24,1884,5.78382518232974
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,2,2,2,300,3,1125,3,7,1125,1125,3.2,1125,2,2,2,2,7,2,0,91,10,9,10,10,10,8,"t",73,73,0,0,0.19,1884,5.7037824746562
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,2.5,2,2,205,3,1125,3,7,1125,1125,3.2,1125,15,39,53,312,27,5,0,95,10,10,10,10,10,9,"t",73,73,0,0,0.49,1884,5.32300997913841
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",8,3,4,4,250,3,1125,3,7,1125,1125,3.2,1125,29,59,74,324,14,1,0,83,9,8,9,10,9,8,"t",73,73,0,0,0.26,1884,5.52146091786225
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,2,2,2,172,3,1125,3,7,1125,1125,3.2,1125,17,23,29,283,58,9,0,96,10,10,10,10,10,10,"t",73,73,0,0,1.05,1884,5.14749447681345
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,2,2,2,195,3,1125,3,7,1125,1125,3.2,1125,30,60,90,364,23,6,0,96,10,9,10,10,10,9,"t",73,73,0,0,0.51,1884,5.27299955856375
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,2,2,2,190,3,1125,3,7,1125,1125,3.2,1125,2,2,2,2,17,4,0,88,9,9,10,9,10,9,"t",73,73,0,0,0.38,1884,5.24702407216049
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",2,1,1,1,215,3,1125,3,7,1125,1125,3.2,1125,25,55,85,360,6,4,0,93,9,9,10,10,10,9,"t",73,73,0,0,0.14,1884,5.37063802812766
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,1,1,1,215,3,1125,3,7,1125,1125,3.2,1125,25,41,56,283,34,3,0,92,10,9,10,10,10,9,"t",73,73,0,0,0.6,1884,5.37063802812766
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,2,2,2,300,3,1125,3,7,1125,1125,3.2,1125,9,9,14,224,24,6,0,99,10,10,10,10,10,10,"t",73,73,0,0,0.45,1884,5.7037824746562
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,2,2,2,300,3,1125,3,7,1125,1125,3.2,1125,28,58,88,355,11,4,0,95,9,9,9,10,10,9,"t",73,73,0,0,0.21,1884,5.7037824746562
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",6,2,2,2,300,3,1125,3,7,1125,1125,3.2,1125,28,58,88,298,15,2,0,94,10,10,10,10,10,9,"t",73,73,0,0,0.29,1884,5.7037824746562
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",6,2,2,2,275,3,1125,3,7,1125,1125,3.2,1125,0,11,26,240,10,1,0,94,10,10,10,10,10,9,"t",73,73,0,0,0.19,1884,5.61677109766657
"within a few hours",100,"f",85,"t","t","Kauai","Entire home/apt",4,2,2,2,225,3,1125,3,7,1125,1125,3.2,1125,0,0,0,0,22,2,0,91,9,9,10,10,9,9,"t",73,73,0,0,0.49,1884,5.41610040220442
